i|g|u_|a	igła
~i|u~_|s|t|y|t|u|t	instytut
z|a|r|y|s	zarys
r|~y|u~_|s^|t|o|k	rynsztok
e|v|a	Ewa
~e|u~_|z|~y|m	enzym
chi|c'|e.|c'	chcieć
c'|~e.|n'	cień
a|l|a	Ala
~a|u~_|f|o|r|a	amfora
dzi|a:|dzi|o	dziadzio
dzi|~a:|n'|~i|n|a	dzianina
o|z^|e|chi	orzech
v|~o|~u:|s	wąs
vi|i|o.|s'|n'|e	wiośnie
vi|i|~u_|n'|e	wionie
u|l	ul
k|~u|~u:|s^|t	kunszt
i_|u:|dz'|i|c'	judzić
dz'|a:|dz'|~u:|n'|o	dziadziunio
b|a|b|a	baba
p|o|l|e	pole
bi|i|g|o|s	bigos
pi|i|s|a|c'	pisać
d|a|l	dal
t|a|t|a	tata
di|i_|a|b|e|u_	diabeł
ti|i_|a|r|a	tiara
d._|z^|e|v|o	drzewo
t._|s^|a|s|k	trzask
g|o|u_|y	goły
k|a|r|a	kara
n|a|g'|i	nagi
r|a|k'|i	raki
dz|v|~o|n	dzwon
c|e|g|u_|a	cegła
i_|e|dzi|~i|n|a|c^|e|i_	jedz inaczej
ci|i|f	cif
dz^|~e|m	dżem
c^|a|s	czas
l|o|dz'^|i_|a	loggia
cz'^|i|l|e	Chile
dz'|a|u_|o	działo
c'|a|u_|o	ciało
v|a|z|a	waza
f|a|l|a	fala
vi|i|g|o|r	wigor
fi|i|k|u|s	fikus
z|e|b|r|a	zebra
s|a|l|a	sala
zi|i_|a|v|a	zjawa
si|~i|n|u|s	sinus
z^|a|b|a	żaba
s^|a|f|a	szafa
z'^|i|g|o|l|o	żigolo
chi'|i|r|o|s'^|~i|m|a	Hiroszima
z'|o|u_|o	zioło
s'|~a|n|o	siano
k|l|e|ch|d|a	klechda
chi|o|r|y	chory
d|a|ch'|~i|n|y	dach inny
chi'|i|r|u|r|k	chirurg
m|a|u_|y	mały
r|y|t|m'_	rytm
mi|i|s'	miś
k|o|s|m'.|k'|i	kosmki
n|o|s	nos
b|l'|i|s|n.	blizn
p|~a|ni|i_|~a|n|e|k	pan Janek
p|~o|n._|c^|e|k	pączek
g|a|r|n'._|c^|k|a	garnczka
n'|e	nie
b|a|s'|n:	baśń
k|~o|ny|g|o	Kongo
pi|i_|o|s|ny._|k|a	piosnka
r|~e|ny'|k'|i	ręki
pi|i_|o|s|ny'._|k'|i	piosnki
r|o|v|e|r	rower
k|a|t|r.	kadr
r'|i|k|s^|a	riksza
m|~e|n|t|r'.|k'|~e|m	mędrkiem
l|a|l|a	lala
m|y|s'|l.|m|y	myślmy
l'|i|s	lis
~u|m|y|s'|l'.|n'|e	umyślnie
u_|a|v|a	ława
u'_|i|k|~e|n|t	weekend
~u|m|y|s|u^_	umysł
chi|o|dz|~o|u~_	chodzą
i_|a|k	jak
k|~o|i'_|si|k'|i	koński
